Elapsed Seconds,Layer Architecture,Beta,Learning Rate,Momentum,Error Epsilon,Iterations,Training Accuracy,Mean Squared Error
0.0064661502838134766,"[35, 1]",1.0,0.1,0.995,0.005,7,"[0.8, 0.8, 1.0, 0.9, 0.9, 0.9, 1.0]","[0.20458785417575362, 0.17359256876927232, 0.07523566066119668, 0.07400141118295535, 0.04244507685998615, 0.03818107517364443, 0.0041416154951565195]"
0.00673985481262207,"[35, 1]",1.0,0.1,0.995,0.005,8,"[0.9, 0.7, 0.9, 0.9, 1.0, 0.9, 1.0, 1.0]","[0.1584172035564385, 0.16829515013259694, 0.06971919510846103, 0.08626713039488147, 0.013756709761752242, 0.047981700867576235, 0.017555204173062035, 0.0034088498778244644]"
0.01149606704711914,"[35, 1]",1.0,0.1,0.995,0.005,13,"[0.6, 0.7, 0.6, 0.7, 0.8, 0.8, 0.8, 0.8, 0.9, 0.9, 0.9, 1.0, 1.0]","[0.3653276122862087, 0.21727214217711893, 0.2600270225424028, 0.23926132238441306, 0.19799667829252576, 0.1964024432456004, 0.19361860410005316, 0.18183251674225026, 0.12296538936125719, 0.0946904817818465, 0.0657551597132788, 0.006328802713529492, 0.0035460672010201285]"
0.006598949432373047,"[35, 1]",1.0,0.1,0.995,0.005,8,"[0.9, 0.8, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1540382757547263, 0.12057851623815807, 0.08172878349499754, 0.021258004007076406, 0.015233539623391686, 0.02493373812746231, 0.006517207179635215, 0.004880403999971295]"
0.005203962326049805,"[35, 1]",1.0,0.1,0.995,0.005,6,"[0.8, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.18969804527808615, 0.0696617377648412, 0.033741809014935224, 0.0247046556216405, 0.00926732595760077, 0.0047514545807247595]"
0.006952762603759766,"[35, 1]",1.0,0.1,0.995,0.005,6,"[0.8, 0.9, 0.9, 1.0, 1.0, 1.0]","[0.22803699063299585, 0.1303912836767453, 0.08351081795225107, 0.01861295499801493, 0.006315387207893109, 0.004789825250405643]"
0.006798982620239258,"[35, 1]",1.0,0.1,0.995,0.005,6,"[0.6, 0.8, 1.0, 1.0, 1.0, 1.0]","[0.17766270508368814, 0.1032015902085806, 0.04276838313737186, 0.012151977860130976, 0.006298889022114648, 0.004964595378649455]"
0.0066602230072021484,"[35, 1]",1.0,0.1,0.995,0.005,8,"[0.6, 0.9, 0.9, 0.9, 1.0, 1.0, 1.0, 1.0]","[0.27584572006283076, 0.11810558463217129, 0.08153498436245707, 0.03734163077678343, 0.014593395084980637, 0.01939084646376225, 0.005390441998378971, 0.004212765328240594]"
0.005875825881958008,"[35, 1]",1.0,0.1,0.995,0.005,6,"[0.7, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.17458545112936272, 0.07446904960301313, 0.042027787278626876, 0.027312167707617224, 0.02264402615418083, 0.0046377236420252176]"
0.005403280258178711,"[35, 1]",1.0,0.1,0.995,0.005,6,"[0.6, 0.8, 0.9, 1.0, 1.0, 1.0]","[0.2702237145837516, 0.12650407628569355, 0.08003201577355648, 0.026381035602669422, 0.007312851143917945, 0.004729348224737981]"
0.012414932250976562,"[35, 1]",1.0,0.1,0.995,0.005,12,"[0.6, 0.6, 0.6, 0.7, 0.8, 0.8, 0.8, 0.9, 0.9, 0.9, 0.9, 1.0]","[0.3083028914060265, 0.25868219921164787, 0.3360946422855869, 0.1880942982673418, 0.10281474740409205, 0.17015660539142408, 0.15917085545964202, 0.10753390175552942, 0.09673392045119665, 0.08534908101299057, 0.031206641646458595, 0.003999839364866809]"
0.004734992980957031,"[35, 1]",1.0,0.1,0.995,0.005,5,"[0.6, 0.8, 1.0, 0.9, 1.0]","[0.21386469783702142, 0.10851813443835359, 0.040389219082412456, 0.03430231732044252, 0.004463828157082505]"
0.0062999725341796875,"[35, 1]",1.0,0.1,0.995,0.005,7,"[0.7, 0.7, 0.9, 0.9, 1.0, 1.0, 1.0]","[0.2343583167106797, 0.16756714918053853, 0.07280963940952286, 0.049509273569439086, 0.009868906705743296, 0.020619374428141598, 0.0037269485536019567]"
0.006933927536010742,"[35, 1]",1.0,0.1,0.995,0.005,8,"[0.9, 0.8, 0.8, 0.9, 0.9, 1.0, 0.9, 1.0]","[0.13601202011712984, 0.13041915374522633, 0.10375633569988285, 0.10648925307349988, 0.031134888075216603, 0.038666712214784064, 0.03467645239114648, 0.0047650971448542]"
0.00794219970703125,"[35, 1]",1.0,0.1,0.995,0.005,5,"[0.6, 0.8, 1.0, 0.7, 1.0]","[0.22181021763398617, 0.14781653951992263, 0.03386811457768733, 0.1577048454465543, 0.0046134683961985825]"
